No.,Player,Pos,Ht,Date Ht,Wt,Birth Date,Nationality,Exp,College
34,Giannis Antetokounmpo,PF,6'11,11-Jun,242,December 6 1994,gr,5,
6,Eric Bledsoe,PG,6'1,1-Jun,205,December 9 1989,us,8,Kentucky
13,Malcolm Brogdon,SG,6'5,5-Jun,229,December 11 1992,us,2,Virginia
23,Sterling Brown,SG,6'6,6-Jun,232,February 10 1995,us,1,SMU
7,Isaiah Canaan,PG,6'1,Jun-00,201,May 21 1991,us,5,Murray State
50,Bonzie Colson,SF,6'6,6-Jun,224,January 12 1996,us,0,Notre Dame
24,Pat Connaughton,SG,6'4,4-Jun,209,January 6 1993,us,3,Notre Dame
8,Matthew Dellavedova,PG,6'4,4-Jun,200,September 8 1990,au,5,Saint Mary's
9,Donte DiVincenzo,SG,6'4,4-Jun,203,January 31 1997,us,0,Villanova
0,Trevon Duval,PG,6'2,2-Jun,189,August 3 1998,us,0,Duke
12,Tim Frazier,PG,6'1,1-Jun,170,November 1 1990,us,4,Penn State
17,Pau Gasol,C,7'1,Jul-00,250,July 6 1980,es,17,
31,John Henson,C,6'11,11-Jun,219,December 28 1990,us,6,UNC
3,George Hill,PG,6'3,3-Jun,188,May 4 1986,us,10,IUPUI
77,Ersan İlyasova,PF,6'10,10-Jun,235,May 15 1987,tr,10,
11,Brook Lopez,C,7'1,Jul-00,270,April 1 1988,us,10,Stanford
7,Thon Maker,C,7'1,1-Jul,221,February 25 1997,ss,2,
22,Khris Middleton,SF,6'8,8-Jun,222,August 12 1991,us,6,Texas A&M
41,Nikola Mirotić,PF,6'10,10-Jun,250,February 11 1991,me,4,
30,Jaylen Morris,SG,6'5,5-Jun,185,September 19 1995,us,1,Molloy
20,Jason Smith,PF,7'1,Jul-00,240,March 2 1986,us,10,Colorado State
21,Tony Snell,SF,6'7,7-Jun,213,November 10 1991,us,5,New Mexico
5,D.J. Wilson,PF,6'10,10-Jun,231,February 19 1996,us,1,Michigan
35,Christian Wood,PF,6'10,10-Jun,214,September 27 1995,us,2,UNLV
3,OG Anunoby,SF,6'8,8-Jun,232,July 17 1997,gb,1,Indiana
25,Chris Boucher,PF,6'10,10-Jun,200,January 11 1993,lc,1,Oregon
4,Lorenzo Brown,PG,6'5,5-Jun,189,August 26 1990,us,4,NC State
33,Marc Gasol,C,7'1,1-Jul,255,January 29 1985,es,10,
14,Danny Green,SG,6'6,6-Jun,215,June 22 1987,us,9,UNC
9,Serge Ibaka,C,6'10,10-Jun,235,September 18 1989,cg,9,
2,Kawhi Leonard,SF,6'7,7-Jun,230,June 29 1991,us,7,San Diego State
17,Jeremy Lin,PG,6'3,3-Jun,200,August 23 1988,us,8,Harvard University
7,Kyle Lowry,PG,6'1,1-Jun,196,March 25 1986,us,12,Villanova
8,Jordan Loyd,PG,6'4,4-Jun,210,July 27 1993,us,0,Furman University University of Indianapolis
1,Patrick McCaw,SG,6'7,7-Jun,185,October 25 1995,us,2,UNLV
20,Jodie Meeks,SG,6'4,4-Jun,210,August 21 1987,us,9,Kentucky
0,C.J. Miles,SF,6'6,6-Jun,220,March 18 1987,us,13,
13,Malcolm Miller,SF,6'7,7-Jun,210,March 6 1993,us,1,Holy Cross
15,Greg Monroe,C,6'11,11-Jun,265,June 4 1990,us,8,Georgetown
15,Eric Moreland,PF,6'10,10-Jun,238,December 24 1991,us,3,Oregon State
24,Norman Powell,SG,6'4,4-Jun,215,May 25 1993,us,3,UCLA
22,Malachi Richardson,SG,6'6,6-Jun,205,January 5 1996,us,2,Syracuse
43,Pascal Siakam,PF,6'9,9-Jun,230,April 2 1994,cm,2,New Mexico State
17,Jonas Valančiūnas,C,7'1,Jul-00,265,May 6 1992,lt,6,
23,Fred VanVleet,PG,6'1,Jun-00,195,February 25 1994,us,2,Wichita State
55,Delon Wright,PG,6'5,5-Jun,183,April 26 1992,us,3,Utah
43,Jonah Bolden,PF,6'10,10-Jun,220,January 2 1996,au,0,UCLA
0,Corey Brewer,SF,6'9,9-Jun,186,March 5 1986,us,11,Florida
23,Jimmy Butler,SF,6'8,8-Jun,232,September 14 1989,us,7,Marquette
22,Wilson Chandler,PF,6'9,9-Jun,225,May 10 1987,us,10,DePaul
33,Robert Covington,SF,6'9,9-Jun,225,December 14 1990,us,5,Tennessee State
21,Joel Embiid,C,7'1,Jul-00,250,March 16 1994,cm,2,Kansas
11,James Ennis,SF,6'7,7-Jun,210,July 1 1990,us,4,Cal State Long Beach
20,Markelle Fultz,SG,6'4,4-Jun,200,May 29 1998,us,1,Washington
33,Tobias Harris,PF,6'9,9-Jun,235,July 15 1992,us,7,Tennessee
7,Haywood Highsmith,SF,6'7,7-Jun,220,December 9 1996,us,0,Wheeling Jesuit University
11,Demetrius Jackson,PG,6'1,1-Jun,201,September 7 1994,us,2,Notre Dame
5,Amir Johnson,C,6'9,9-Jun,240,May 1 1987,us,13,
30,Furkan Korkmaz,SG,6'7,7-Jun,190,July 24 1997,tr,1,
51,Boban Marjanović,C,7'3,3-Jul,290,August 15 1988,rs,3,
12,T.J. McConnell,PG,6'2,2-Jun,190,March 25 1992,us,3,Duquesne Arizona
18,Shake Milton,SG,6'6,6-Jun,207,September 26 1996,us,0,SMU
55,Greg Monroe,C,6'11,11-Jun,265,June 4 1990,us,8,Georgetown
31,Mike Muscala,PF,6'11,11-Jun,240,July 1 1991,us,5,Bucknell
0,Justin Patton,C,7'1,Jul-00,241,June 14 1997,us,1,Creighton
17,J.J. Redick,SG,6'4,4-Jun,200,June 24 1984,us,12,Duke
9,Dario Šarić,PF,6'10,10-Jun,223,April 8 1994,hr,2,
1,Mike Scott,PF,6'8,8-Jun,237,July 16 1988,us,6,Virginia
1,Landry Shamet,SG,6'5,5-Jun,188,March 13 1997,us,0,Wichita State
25,Ben Simmons,PG,6'10,10-Jun,230,July 20 1996,au,1,LSU
14,Jonathon Simmons,SF,6'6,6-Jun,195,September 14 1989,us,3,Houston
8,Zhaire Smith,SG,6'4,4-Jun,199,June 4 1999,us,0,Texas Tech
46,Aron Baynes,C,6'10,10-Jun,260,December 9 1986,nz,6,Washington State
7,Jaylen Brown,SG,6'7,7-Jun,220,October 24 1996,us,2,Cal
50,PJ Dozier,SG,6'6,6-Jun,205,October 25 1996,us,1,South Carolina
20,Gordon Hayward,PF,6'8,8-Jun,225,March 23 1990,us,8,Butler
42,Al Horford,C,6'10,10-Jun,245,June 3 1986,do,11,Florida
28,R.J. Hunter,SG,6'5,5-Jun,185,October 24 1993,us,3,Georgia State University
11,Kyrie Irving,PG,6'3,3-Jun,193,March 23 1992,au,7,Duke
55,Greg Monroe,C,6'11,11-Jun,265,June 4 1990,us,8,Georgetown
13,Marcus Morris,PF,6'9,9-Jun,235,September 2 1989,us,7,Kansas
37,Semi Ojeleye,PF,6'7,7-Jun,241,December 5 1994,us,1,SMU
12,Terry Rozier,PG,6'1,1-Jun,190,March 17 1994,us,3,Louisville
36,Marcus Smart,SG,6'4,4-Jun,220,March 6 1994,us,4,Oklahoma State
0,Jayson Tatum,SF,6'8,8-Jun,208,March 3 1998,us,1,Duke
27,Daniel Theis,C,6'8,8-Jun,243,April 4 1992,de,1,
9,Brad Wanamaker,PG,6'4,4-Jun,210,July 25 1989,us,0,Pitt
44,Robert Williams,C,6'10,10-Jun,240,October 17 1997,us,0,Texas A&M
30,Guerschon Yabusele,PF,6'8,8-Jun,260,December 17 1995,fr,1,
13,Ike Anigbogu,C,6'10,10-Jun,250,October 17 1998,us,1,UCLA
44,Bojan Bogdanović,SF,6'8,8-Jun,216,April 18 1989,ba,4,
2,Darren Collison,PG,6'1,Jun-00,175,August 23 1987,us,9,UCLA
12,Tyreke Evans,SG,6'6,6-Jun,220,September 19 1989,us,9,Memphis
3,Aaron Holiday,PG,6'1,1-Jun,185,September 30 1996,us,0,UCLA
24,Alize Johnson,PF,6'9,9-Jun,212,April 22 1996,us,0,Missouri State
6,Cory Joseph,PG,6'3,3-Jun,193,August 20 1991,ca,7,Texas
22,T.J. Leaf,PF,6'10,10-Jun,225,April 30 1997,il,1,UCLA
23,Wesley Matthews,SG,6'5,5-Jun,220,October 14 1986,us,9,Marquette
20,Doug McDermott,SF,6'8,8-Jun,225,January 3 1992,us,4,Creighton
10,Kyle O'Quinn,C,6'10,10-Jun,250,March 26 1990,us,6,Norfolk State
4,Victor Oladipo,SG,6'4,4-Jun,210,May 4 1992,us,5,Indiana
32,Davon Reed,SG,6'5,5-Jun,208,June 11 1995,us,1,Miami (FL)
11,Domantas Sabonis,C,6'11,11-Jun,240,May 3 1996,us,2,Gonzaga
5,Edmond Sumner,PG,6'6,6-Jun,176,December 31 1995,us,1,Xavier
33,Myles Turner,C,6'11,11-Jun,250,March 24 1996,us,3,Texas
21,Thaddeus Young,PF,6'8,8-Jun,221,June 21 1988,us,11,Georgia Tech
31,Jarrett Allen,C,6'11,11-Jun,237,April 21 1998,us,1,Texas
9,DeMarre Carroll,PF,6'8,8-Jun,215,July 27 1986,us,9,Vanderbilt Missouri
33,Allen Crabbe,SG,6'6,6-Jun,212,April 9 1992,us,5,Cal
55,Mitch Creek,SF,6'5,5-Jun,216,April 27 1992,au,0,
17,Ed Davis,C,6'10,10-Jun,225,June 5 1989,us,8,UNC
8,Spencer Dinwiddie,PG,6'6,6-Jun,210,April 6 1993,us,4,Colorado
6,Jared Dudley,PF,6'7,7-Jun,237,July 10 1985,us,11,Boston College
35,Kenneth Faried,C,6'8,8-Jun,220,November 19 1989,us,7,Morehead State University
21,Treveon Graham,SG,6'5,5-Jun,225,October 28 1993,us,2,Virginia Commonwealth
12,Joe Harris,SG,6'6,6-Jun,218,September 6 1991,us,4,Virginia
24,Rondae Hollis-Jefferson,SF,6'7,7-Jun,217,January 3 1995,us,3,Arizona
0,Rodions Kurucs,SF,6'9,9-Jun,210,February 5 1998,lv,0,
22,Caris LeVert,SF,6'7,7-Jun,204,August 25 1994,us,2,Michigan
0,Tahjere McCall,SG,6'5,5-Jun,195,August 17 1994,us,0,Tennessee State
30,Džanan Musa,SG,6'9,9-Jun,208,May 8 1999,ba,0,
13,Shabazz Napier,PG,6'1,1-Jun,180,July 14 1991,us,4,UConn
10,Theo Pinson,SG,6'6,6-Jun,218,November 5 1995,us,0,UNC
1,D'Angelo Russell,PG,6'5,5-Jun,198,February 23 1996,us,3,Ohio State
15,Alan Williams,PF,6'8,8-Jun,265,January 28 1993,us,3,University of California Santa Barbara
14,D.J. Augustin,PG,6'1,Jun-00,183,November 10 1987,us,10,Texas
5,Mo Bamba,C,7'1,1-Jul,241,May 12 1998,us,0,Texas
24,Khem Birch,C,6'9,9-Jun,233,September 28 1992,ca,1,Pitt UNLV
13,Isaiah Briscoe,PG,6'3,3-Jun,215,April 13 1996,us,0,Kentucky
7,Michael Carter-Williams,PG,6'6,6-Jun,190,October 10 1991,us,5,Syracuse
3,Troy Caupain,PG,6'4,4-Jun,210,November 29 1995,us,0,Cincinnati
10,Evan Fournier,SG,6'7,7-Jun,205,October 29 1992,fr,6,
35,Melvin Frazier,SG,6'6,6-Jun,200,August 30 1996,us,0,Tulane
0,Aaron Gordon,PF,6'9,9-Jun,220,September 16 1995,us,4,Arizona
22,Jerian Grant,PG,6'4,4-Jun,205,October 9 1992,us,3,Notre Dame
1,Jonathan Isaac,PF,6'10,10-Jun,210,October 3 1997,us,1,Florida State
25,Wesley Iwundu,SF,6'7,7-Jun,195,December 20 1994,us,1,Kansas State
11,Amile Jefferson,PF,6'9,9-Jun,222,May 7 1993,us,0,Duke
2,Jarell Martin,PF,6'10,10-Jun,239,May 24 1994,us,3,LSU
31,Terrence Ross,SG,6'7,7-Jun,206,February 5 1991,us,6,Washington
17,Jonathon Simmons,SG,6'6,6-Jun,195,September 14 1989,us,3,Houston
9,Nikola Vučević,C,7'1,Jul-00,260,October 24 1990,ch,7,USC
6,Bruce Brown,SG,6'5,5-Jun,202,August 15 1996,us,0,Miami (FL)
25,Reggie Bullock,SG,6'7,7-Jun,205,March 16 1991,us,5,UNC
81,José Calderón,PG,6'3,3-Jun,200,September 28 1981,es,13,
0,Andre Drummond,C,6'11,11-Jun,279,August 10 1993,us,6,UConn
8,Henry Ellenson,PF,6'11,11-Jun,245,January 13 1997,us,2,Marquette
20,Wayne Ellington,SG,6'5,5-Jun,200,November 29 1987,us,9,UNC
9,Langston Galloway,SG,6'2,2-Jun,200,December 9 1991,us,4,Saint Joseph's
23,Blake Griffin,PF,6'10,10-Jun,250,March 16 1989,us,8,Oklahoma
1,Reggie Jackson,PG,6'3,3-Jun,208,April 16 1990,it,7,Boston College
7,Stanley Johnson,SF,6'7,7-Jun,245,May 29 1996,us,3,Arizona
5,Luke Kennard,SG,6'5,5-Jun,206,June 24 1996,us,1,Duke
30,Jon Leuer,PF,6'10,10-Jun,228,May 14 1989,us,7,Wisconsin
18,Zach Lofton,SG,6'4,4-Jun,180,November 18 1992,us,0,Illinois State University Texas Southern University New Mexico State
24,Kalin Lucas,PG,6'1,1-Jun,195,May 24 1989,us,1,Michigan State
7,Thon Maker,PF,7'1,1-Jul,221,February 25 1997,ss,2,
19,Sviatoslav Mykhailiuk,SF,6'8,8-Jun,205,June 10 1997,ua,0,Kansas
27,Zaza Pachulia,C,6'11,11-Jun,270,February 10 1984,ge,15,
22,Glenn Robinson,SF,6'6,6-Jun,222,January 8 1994,us,4,Michigan
14,Ish Smith,PG,6'1,Jun-00,175,July 5 1988,us,8,Wake Forest
13,Khyri Thomas,SG,6'3,3-Jun,210,May 8 1996,us,0,Creighton
7,Dwayne Bacon,SG,6'7,7-Jun,221,August 30 1995,us,1,Florida State
5,Nicolas Batum,SF,6'8,8-Jun,200,December 14 1988,fr,10,
8,Bismack Biyombo,C,6'9,9-Jun,255,August 28 1992,cd,7,
0,Miles Bridges,SF,6'7,7-Jun,225,March 21 1998,us,0,Michigan State
31,Joe Chealey,PG,6'3,3-Jun,190,November 1 1995,us,0,College of Charleston
4,Devonte' Graham,PG,6'2,2-Jun,185,February 22 1995,us,0,Kansas
41,Willy Hernangómez,C,6'11,11-Jun,240,May 27 1994,es,2,
44,Frank Kaminsky,C,7'1,Jul-00,242,April 4 1993,us,3,Wisconsin
14,Michael Kidd-Gilchrist,PF,6'7,7-Jun,232,September 26 1993,us,6,Kentucky
3,Jeremy Lamb,SG,6'5,5-Jun,185,May 30 1992,us,6,UConn
6,Shelvin Mack,PG,6'3,3-Jun,203,April 22 1990,us,7,Butler
55,J.P. Macura,SG,6'5,5-Jun,205,June 5 1995,us,0,Xavier
1,Malik Monk,SG,6'3,3-Jun,200,February 4 1998,us,1,Kentucky
9,Tony Parker,PG,6'2,2-Jun,185,May 17 1982,be,17,
15,Kemba Walker,PG,6'1,1-Jun,184,May 8 1990,us,7,UConn
2,Marvin Williams,PF,6'9,9-Jun,237,June 19 1986,us,13,UNC
40,Cody Zeller,C,7'1,Jul-00,240,October 5 1992,us,5,Indiana
13,Bam Adebayo,C,6'10,10-Jun,255,July 18 1997,us,1,Kentucky
31,Ryan Anderson,PF,6'10,10-Jun,240,May 6 1988,us,10,Cal
7,Goran Dragić,PG,6'3,3-Jun,190,May 6 1986,si,10,
2,Wayne Ellington,SG,6'5,5-Jun,200,November 29 1987,us,9,UNC
40,Udonis Haslem,C,6'8,8-Jun,235,June 9 1980,us,15,Florida
16,James Johnson,PF,6'8,8-Jun,240,February 20 1987,us,9,Wake Forest
8,Tyler Johnson,PG,6'4,4-Jun,190,May 7 1992,us,4,Fresno State
5,Derrick Jones,SF,6'7,7-Jun,200,February 15 1997,us,2,UNLV
0,Yante Maten,PF,6'8,8-Jun,240,August 14 1996,us,0,Georgia
17,Rodney McGruder,SG,6'4,4-Jun,200,July 29 1991,us,2,Kansas State
9,Kelly Olynyk,PF,7'1,Jul-00,240,April 19 1991,ca,5,Gonzaga
0,Josh Richardson,SG,6'6,6-Jun,200,September 15 1993,us,3,Tennessee
55,Duncan Robinson,PF,6'8,8-Jun,210,April 22 1994,us,0,Williams Michigan
12,Emanuel Terry,PF,6'9,9-Jun,220,August 21 1996,us,0,Lincoln Memorial University
3,Dwyane Wade,SG,6'4,4-Jun,220,January 17 1982,us,15,Marquette
11,Dion Waiters,SG,6'4,4-Jun,215,December 10 1991,us,6,Syracuse
21,Hassan Whiteside,C,7'1,Jul-00,265,June 13 1989,us,6,Marshall
20,Justise Winslow,SF,6'7,7-Jun,225,March 26 1996,us,3,Duke
1,Trevor Ariza,SF,6'8,8-Jun,215,June 30 1985,us,14,UCLA
84,Ron Baker,SG,6'4,4-Jun,220,March 30 1993,us,2,Wichita State
3,Bradley Beal,SG,6'5,5-Jun,207,June 28 1993,us,6,Florida
6,Troy Brown,SF,6'7,7-Jun,215,July 28 1999,us,0,Oregon
13,Thomas Bryant,C,6'11,11-Jun,248,July 31 1997,us,1,Indiana
8,Sam Dekker,PF,6'9,9-Jun,230,May 6 1994,us,3,Wisconsin
32,Jeff Green,PF,6'9,9-Jun,235,August 28 1986,us,10,Georgetown
21,Dwight Howard,C,6'11,11-Jun,265,December 8 1985,us,14,
20,John Jenkins,SG,6'4,4-Jun,215,March 6 1991,us,5,Vanderbilt
4,Wesley Johnson,SF,6'7,7-Jun,215,July 11 1987,us,8,Iowa State Syracuse
28,Ian Mahinmi,C,6'11,11-Jun,262,November 5 1986,fr,10,
52,Jordan McRae,SG,6'5,5-Jun,179,March 28 1991,us,2,Tennessee
5,Markieff Morris,PF,6'10,10-Jun,245,September 2 1989,us,7,Kansas
12,Kelly Oubre,SF,6'7,7-Jun,205,December 9 1995,us,3,Kansas
12,Jabari Parker,PF,6'8,8-Jun,245,March 15 1995,us,4,Duke
4,Gary Payton,PG,6'3,3-Jun,190,December 1 1992,us,2,Oregon State
22,Otto Porter,SF,6'8,8-Jun,198,June 3 1993,us,5,Georgetown
5,Bobby Portis,PF,6'11,11-Jun,250,February 10 1995,us,3,Arkansas
9,Chasson Randle,PG,6'2,2-Jun,185,February 5 1993,us,1,Stanford
1,Austin Rivers,SG,6'4,4-Jun,200,August 1 1992,us,6,Duke
7,Devin Robinson,SF,6'8,8-Jun,200,March 7 1995,us,1,Florida
31,Tomáš Satoranský,PG,6'7,7-Jun,210,October 30 1991,cz,2,
14,Jason Smith,C,7'1,Jul-00,240,March 2 1986,us,10,Colorado State
2,John Wall,PG,6'4,4-Jun,210,September 6 1990,us,8,Kentucky
15,Okaro White,PF,6'8,8-Jun,205,August 13 1992,us,2,Florida State
10,Jaylen Adams,PG,6'2,2-Jun,190,May 4 1996,us,0,St. Bonaventure
1,Justin Anderson,SF,6'6,6-Jun,230,November 19 1993,us,3,Virginia
24,Kent Bazemore,SG,6'5,5-Jun,201,July 1 1989,us,6,Old Dominion
95,DeAndre' Bembry,SG,6'6,6-Jun,210,July 4 1994,us,2,Saint Joseph's
15,Vince Carter,PF,6'6,6-Jun,220,January 26 1977,us,20,UNC
20,John Collins,PF,6'10,10-Jun,235,September 23 1997,us,1,Wake Forest
4,Deyonta Davis,C,6'11,11-Jun,237,December 2 1996,us,2,Michigan State
14,Dewayne Dedmon,C,7'1,Jul-00,245,August 12 1989,us,5,USC
2,Tyler Dorsey,SG,6'5,5-Jun,183,February 18 1996,us,1,Oregon
5,Daniel Hamilton,SG,6'7,7-Jun,195,August 8 1995,us,1,UConn
3,Kevin Huerter,SG,6'7,7-Jun,190,August 27 1998,us,0,Maryland
8,Isaac Humphries,C,7'1,Jul-00,255,January 5 1998,au,0,Kentucky
5,B.J. Johnson,SF,6'7,7-Jun,200,December 21 1995,us,0,Syracuse La Salle
25,Alex Len,C,7'1,1-Jul,250,June 16 1993,ua,5,Maryland
7,Jeremy Lin,PG,6'3,3-Jun,200,August 23 1988,us,8,Harvard University
18,Miles Plumlee,C,6'11,11-Jun,249,September 1 1988,us,6,Duke
22,Alex Poythress,PF,6'9,9-Jun,235,September 6 1993,us,2,Kentucky
8,Jordan Sibert,SG,6'4,4-Jun,187,August 1 1992,us,0,Ohio State Dayton
6,Omari Spellman,PF,6'9,9-Jun,245,July 21 1997,us,0,Villanova
12,Taurean Waller-Prince,SF,6'8,8-Jun,220,March 22 1994,us,2,Baylor
11,Trae Young,PG,6'2,2-Jun,180,September 19 1998,us,0,Oklahoma
45,Tyler Zeller,C,7'1,Jul-00,253,January 17 1990,us,6,UNC
20,Rawle Alkins,SG,6'5,5-Jun,225,October 29 1997,us,0,Arizona
51,Ryan Arcidiacono,PG,6'3,3-Jun,200,March 26 1994,us,1,Villanova
9,Antonio Blakeney,SG,6'4,4-Jun,192,October 4 1996,us,1,LSU
34,Wendell Carter,C,6'10,10-Jun,255,April 16 1999,us,0,Duke
32,Kris Dunn,PG,6'4,4-Jun,205,March 18 1994,us,2,Providence
6,Cristiano Felício,C,6'10,10-Jun,265,July 7 1992,br,3,
3,Shaquille Harrison,PG,6'4,4-Jun,190,October 6 1993,us,1,Tulsa
7,Justin Holiday,SG,6'6,6-Jun,181,April 5 1989,us,5,Washington
15,Chandler Hutchison,SF,6'7,7-Jun,197,April 26 1996,us,0,Boise State
8,Zach LaVine,SG,6'5,5-Jun,200,March 10 1995,us,4,UCLA
25,Walt Lemon,PG,6'3,3-Jun,180,July 26 1992,us,1,Bradley
42,Robin Lopez,C,7'1,Jul-00,275,April 1 1988,us,10,Stanford
7,Timothé Luwawu-Cabarrot,SF,6'6,6-Jun,210,May 9 1995,fr,2,
24,Lauri Markkanen,PF,7'1,Jul-00,240,May 22 1997,fi,1,Arizona
2,Jabari Parker,PF,6'8,8-Jun,245,March 15 1995,us,4,Duke
22,Cameron Payne,PG,6'3,3-Jun,190,August 8 1994,us,3,Murray State
22,Otto Porter,SF,6'8,8-Jun,198,June 3 1993,us,5,Georgetown
5,Bobby Portis,PF,6'11,11-Jun,250,February 10 1995,us,3,Arkansas
44,Brandon Sampson,SG,6'5,5-Jun,184,May 1 1997,us,0,LSU
41,JaKarr Sampson,SF,6'9,9-Jun,214,March 20 1993,us,3,St. John's
14,Wayne Selden,SG,6'5,5-Jun,230,September 30 1994,us,2,Kansas
0,Tyler Ulis,PG,5'10,10-May,160,January 5 1996,us,2,Kentucky
32,Deng Adel,SF,6'7,7-Jun,200,February 1 1997,ss,0,Louisville
4,Jaron Blossomgame,SF,6'8,8-Jun,220,September 16 1993,us,0,Clemson
10,Alec Burks,SG,6'6,6-Jun,214,July 20 1991,us,7,Colorado
3,Marquese Chriss,PF,6'10,10-Jun,240,July 2 1997,us,2,Washington
8,Jordan Clarkson,SG,6'5,5-Jun,194,June 7 1992,us,4,Tulsa Missouri
15,Sam Dekker,PF,6'9,9-Jun,230,May 6 1994,us,3,Wisconsin
18,Matthew Dellavedova,PG,6'4,4-Jun,200,September 8 1990,au,5,Saint Mary's
9,Channing Frye,C,7'1,Jul-00,255,May 17 1983,us,12,Arizona
55,Andrew Harrison,PG,6'6,6-Jun,213,October 28 1994,us,2,Kentucky
3,George Hill,PG,6'3,3-Jun,188,May 4 1986,us,10,IUPUI
10,John Holland,SF,6'5,5-Jun,205,November 6 1988,us,2,Boston University
1,Rodney Hood,SG,6'8,8-Jun,206,October 20 1992,us,4,Mississippi State Duke
21,Jalen Jones,SF,6'7,7-Jun,220,May 27 1993,us,1,Texas A&M
20,Brandon Knight,PG,6'3,3-Jun,195,December 2 1991,us,6,Kentucky
26,Kyle Korver,PF,6'7,7-Jun,212,March 17 1981,us,15,Creighton
0,Kevin Love,PF,6'10,10-Jun,251,September 7 1988,us,10,UCLA
3,Patrick McCaw,SG,6'7,7-Jun,185,October 25 1995,us,2,UNLV
22,Larry Nance,C,6'9,9-Jun,230,January 1 1993,us,3,Wyoming
12,David Nwaba,SG,6'4,4-Jun,219,January 14 1993,us,2,Cal Poly
16,Cedi Osman,SF,6'8,8-Jun,215,April 8 1995,mk,1,
3,Cameron Payne,PG,6'3,3-Jun,190,August 8 1994,us,3,Murray State
2,Collin Sexton,PG,6'2,2-Jun,190,January 4 1999,us,0,Alabama
3,Kobi Simmons,PG,6'5,5-Jun,166,July 4 1997,us,1,Arizona
5,J.R. Smith,SG,6'6,6-Jun,225,September 9 1985,us,14,
1,Nik Stauskas,SG,6'6,6-Jun,205,October 7 1993,ca,4,Michigan
13,Tristan Thompson,C,6'10,10-Jun,238,March 13 1991,ca,7,Texas
41,Ante Žižić,C,6'11,11-Jun,254,January 4 1997,hr,1,
0,Kadeem Allen,SG,6'3,3-Jun,192,January 15 1993,us,1,Arizona
31,Ron Baker,SG,6'4,4-Jun,220,March 30 1993,us,2,Wichita State
23,Trey Burke,PG,6'1,1-Jun,175,November 12 1992,us,5,Michigan
21,Damyean Dotson,SG,6'6,6-Jun,210,May 6 1994,us,1,Oregon Houston
13,Henry Ellenson,PF,6'11,11-Jun,245,January 13 1997,us,2,Marquette
3,Billy Garrett,SG,6'6,6-Jun,213,October 16 1994,us,0,DePaul
3,Tim Hardaway,SG,6'6,6-Jun,205,March 16 1992,us,5,Michigan
8,Mario Hezonja,SF,6'8,8-Jun,225,February 25 1995,hr,3,
4,Isaiah Hicks,PF,6'9,9-Jun,230,July 24 1994,us,1,UNC
30,John Jenkins,SG,6'4,4-Jun,215,March 6 1991,us,5,Vanderbilt
6,DeAndre Jordan,C,6'11,11-Jun,265,July 21 1988,us,10,Texas A&M
0,Enes Kanter,C,6'11,11-Jun,250,May 20 1992,ch,7,
20,Kevin Knox,PF,6'9,9-Jun,215,August 11 1999,us,0,Kentucky
2,Luke Kornet,PF,7'1,1-Jul,250,July 15 1995,us,1,Vanderbilt
5,Courtney Lee,SG,6'5,5-Jun,215,October 3 1985,us,10,Western Kentucky
23,Wesley Matthews,SG,6'5,5-Jun,220,October 14 1986,us,9,Marquette
1,Emmanuel Mudiay,PG,6'5,5-Jun,200,March 5 1996,cd,3,
11,Frank Ntilikina,PG,6'6,6-Jun,200,July 28 1998,be,1,
