No.,Player,Pos,Ht,Date Ht,Wt,Birth Date,Nationality,Exp,College
26,Mitchell Robinson,C,7'1,1-Jul,240,April 1 1998,us,0,Western Kentucky
5,Dennis Smith,PG,6'3,3-Jun,195,November 25 1997,us,1,NC State
42,Lance Thomas,PF,6'8,8-Jun,240,April 24 1988,us,7,Duke
14,Allonzo Trier,SG,6'5,5-Jun,200,January 17 1996,us,0,Arizona
32,Noah Vonleh,PF,6'9,9-Jun,250,August 24 1995,us,4,Indiana
2,Jordan Bell,C,6'9,9-Jun,224,January 7 1995,us,1,Oregon
12,Andrew Bogut,C,7'1,Jul-00,260,November 28 1984,au,13,Utah
4,Quinn Cook,PG,6'2,2-Jun,179,March 23 1993,us,2,Duke
0,DeMarcus Cousins,C,6'11,11-Jun,270,August 13 1990,us,8,Kentucky
30,Stephen Curry,PG,6'3,3-Jun,190,March 14 1988,us,9,Davidson
32,Marcus Derrickson,PF,6'7,7-Jun,249,February 1 1996,us,0,Georgetown
35,Kevin Durant,SF,6'9,9-Jun,240,September 29 1988,us,11,Texas
10,Jacob Evans,SG,6'6,6-Jun,210,June 18 1997,us,0,Cincinnati
23,Draymond Green,PF,6'7,7-Jun,230,March 4 1990,us,6,Michigan State
9,Andre Iguodala,SF,6'6,6-Jun,215,January 28 1984,us,14,Arizona
21,Jonas Jerebko,PF,6'10,10-Jun,231,March 2 1987,se,8,
15,Damian Jones,C,7'1,Jul-00,245,June 30 1995,us,2,Vanderbilt
1,Damion Lee,SG,6'6,6-Jun,210,October 21 1992,us,1,Drexel Louisville
34,Shaun Livingston,PG,6'7,7-Jun,192,September 11 1985,us,13,
5,Kevon Looney,C,6'9,9-Jun,220,February 6 1996,us,3,UCLA
28,Alfonzo McKinnie,SF,6'8,8-Jun,215,September 17 1992,us,1,Green Bay
11,Klay Thompson,SG,6'7,7-Jun,215,February 8 1990,us,7,Washington State
23,DeVaughn Akoon-Purcell,SG,6'6,6-Jun,200,June 5 1993,us,0,Illinois State University
5,Will Barton,SG,6'6,6-Jun,190,January 6 1991,us,6,Memphis
25,Malik Beasley,SG,6'5,5-Jun,195,November 26 1996,us,2,Florida State
3,Torrey Craig,SF,6'7,7-Jun,215,December 19 1990,us,1,USC Upstate
6,Brandon Goodwin,PG,6'2,2-Jun,180,October 2 1995,us,0,Central Florida Florida Gulf Coast
14,Gary Harris,SG,6'4,4-Jun,210,September 14 1994,us,4,Michigan State
41,Juan Hernangómez,PF,6'9,9-Jun,230,September 28 1995,es,2,
15,Nikola Jokić,C,7'1,Jul-00,250,February 19 1995,rs,3,
20,Tyler Lydon,PF,6'10,10-Jun,225,April 9 1996,us,1,Syracuse
7,Trey Lyles,PF,6'10,10-Jun,234,November 5 1995,ca,3,Kentucky
4,Paul Millsap,PF,6'8,8-Jun,246,February 10 1985,us,12,Louisiana Tech
11,Monte Morris,PG,6'3,3-Jun,175,June 27 1995,us,1,Iowa State
27,Jamal Murray,PG,6'4,4-Jun,207,February 23 1997,ca,2,Kentucky
24,Mason Plumlee,C,6'11,11-Jun,235,March 5 1990,us,5,Duke
0,Isaiah Thomas,SG,5'9,9-May,185,February 7 1989,us,7,Washington
8,Jarred Vanderbilt,PF,6'9,9-Jun,214,April 3 1999,us,0,Kentucky
45,Thomas Welsh,C,7'1,Jul-00,255,February 3 1996,us,0,UCLA
34,Nick Young,SG,6'7,7-Jun,210,June 1 1985,us,11,USC
8,Al-Farouq Aminu,PF,6'9,9-Jun,220,September 21 1990,us,8,Wake Forest
2,Wade Baldwin,PG,6'4,4-Jun,200,March 29 1996,us,2,Vanderbilt
33,Zach Collins,C,7'1,Jul-00,235,November 19 1997,us,1,Gonzaga
31,Seth Curry,SG,6'2,2-Jun,185,August 23 1990,us,4,Liberty Duke
4,Maurice Harkless,SF,6'9,9-Jun,220,May 11 1993,us,6,St. John's
5,Rodney Hood,SG,6'8,8-Jun,206,October 20 1992,us,4,Mississippi State Duke
0,Enes Kanter,C,6'11,11-Jun,250,May 20 1992,ch,7,
17,Skal Labissière,PF,6'11,11-Jun,235,March 18 1996,ht,2,Kentucky
10,Jake Layman,SF,6'9,9-Jun,215,March 7 1994,us,2,Maryland
11,Meyers Leonard,C,7'1,1-Jul,255,February 27 1992,us,6,Illinois
0,Damian Lillard,PG,6'3,3-Jun,195,July 15 1990,us,6,Weber State
3,CJ McCollum,SG,6'3,3-Jun,190,September 19 1991,us,5,Lehigh
27,Jusuf Nurkić,C,7'1,Jul-00,275,August 23 1994,ba,4,
24,Anfernee Simons,SG,6'4,4-Jun,185,June 8 1999,us,0,
6,Nik Stauskas,SG,6'6,6-Jun,205,October 7 1993,ca,4,Michigan
50,Caleb Swanigan,PF,6'9,9-Jun,250,April 18 1997,us,1,Purdue
9,Gary Trent,SG,6'6,6-Jun,205,January 18 1999,us,0,Duke
1,Evan Turner,PG,6'7,7-Jun,220,October 27 1988,us,8,Ohio State
7,Carmelo Anthony,PF,6'8,8-Jun,240,May 29 1984,us,15,Syracuse
15,Clint Capela,C,6'10,10-Jun,240,May 18 1994,ch,4,
1,Michael Carter-Williams,PG,6'6,6-Jun,190,October 10 1991,us,5,Syracuse
2,Chris Chiozza,PG,6'1,Jun-00,176,November 21 1995,us,0,Florida
0,Marquese Chriss,PF,6'10,10-Jun,240,July 2 1997,us,2,Washington
6,Gary Clark,PF,6'8,8-Jun,225,November 16 1994,us,0,Cincinnati
12,Vince Edwards,SF,6'8,8-Jun,225,April 5 1996,us,0,Purdue
8,James Ennis,SF,6'7,7-Jun,210,July 1 1990,us,4,Cal State Long Beach
35,Kenneth Faried,C,6'8,8-Jun,220,November 19 1989,us,7,Morehead State University
10,Eric Gordon,SG,6'4,4-Jun,215,December 25 1988,us,10,Indiana
14,Gerald Green,SG,6'7,7-Jun,205,January 26 1986,us,11,
13,James Harden,PG,6'5,5-Jun,220,August 26 1989,us,9,Arizona State
55,Isaiah Hartenstein,PF,7'1,Jul-00,249,May 5 1998,us,0,
42,Nenê Hilário,C,6'11,11-Jun,250,September 13 1982,br,16,
4,Danuel House,SF,6'7,7-Jun,220,June 7 1993,us,2,Texas A&M
9,Terrence Jones,PF,6'9,9-Jun,252,January 9 1992,us,5,Kentucky
2,Brandon Knight,PG,6'3,3-Jun,195,December 2 1991,us,6,Kentucky
21,James Nunnally,SF,6'7,7-Jun,208,July 14 1990,us,1,University of California Santa Barbara
3,Chris Paul,PG,6'1,Jun-00,175,May 6 1985,us,13,Wake Forest
9,Zhou Qi,PF,7'1,1-Jul,210,January 16 1996,cn,1,
25,Austin Rivers,SG,6'4,4-Jun,200,August 1 1992,us,6,Duke
1,Iman Shumpert,SG,6'5,5-Jun,215,June 26 1990,us,7,Georgia Tech
17,P.J. Tucker,PF,6'6,6-Jun,245,May 5 1985,us,7,Texas
24,Grayson Allen,SG,6'5,5-Jun,198,October 8 1995,us,0,Duke
13,Tony Bradley,C,6'10,10-Jun,248,January 8 1998,us,1,UNC
10,Alec Burks,SG,6'6,6-Jun,214,July 20 1991,us,7,Colorado
34,Tyler Cavanaugh,PF,6'9,9-Jun,238,February 9 1994,us,1,George Washington
99,Jae Crowder,SF,6'6,6-Jun,235,July 6 1990,us,6,Marquette
11,Dante Exum,PG,6'6,6-Jun,190,July 13 1995,au,3,
15,Derrick Favors,C,6'10,10-Jun,265,July 15 1991,us,8,Georgia Tech
27,Rudy Gobert,C,7'1,1-Jul,245,June 26 1992,fr,5,
2,Joe Ingles,PF,6'8,8-Jun,226,October 2 1987,au,4,
26,Kyle Korver,SG,6'7,7-Jun,212,March 17 1981,us,15,Creighton
45,Donovan Mitchell,SG,6'3,3-Jun,215,September 7 1996,us,1,Louisville
30,Naz Mitrou-Long,SG,6'4,4-Jun,218,August 3 1993,ca,1,Iowa State
25,Raul Neto,PG,6'1,1-Jun,179,May 19 1992,br,3,
31,Georges Niang,PF,6'8,8-Jun,230,June 17 1993,us,2,Iowa State
23,Royce O'Neale,SF,6'6,6-Jun,226,June 5 1993,us,1,Baylor
3,Ricky Rubio,PG,6'4,4-Jun,190,October 21 1990,es,7,
22,Thabo Sefolosha,SF,6'7,7-Jun,220,May 2 1984,ch,12,
33,Ekpe Udoh,C,6'10,10-Jun,245,May 20 1987,us,6,Michigan Baylor
8,Álex Abrines,SG,6'6,6-Jun,200,August 1 1993,es,2,
12,Steven Adams,C,7'1,Jul-00,265,July 20 1993,nz,5,Pitt
30,Deonte Burton,SG,6'5,5-Jun,245,January 31 1994,us,0,Marquette Iowa State
34,Tyler Davis,C,6'10,10-Jun,266,May 22 1997,us,0,Texas A&M
6,Hamidou Diallo,SG,6'5,5-Jun,198,July 31 1998,us,0,Kentucky
8,Jawun Evans,PG,6'1,Jun-00,185,July 26 1996,us,1,Oklahoma State
2,Raymond Felton,PG,6'1,1-Jun,205,June 26 1984,us,13,UNC
23,Terrance Ferguson,SG,6'7,7-Jun,190,May 17 1998,us,1,
13,Paul George,SF,6'9,9-Jun,220,May 2 1990,us,8,Fresno State
9,Jerami Grant,PF,6'9,9-Jun,220,March 12 1994,us,4,Syracuse
15,Donte Grantham,SF,6'8,8-Jun,215,March 19 1995,us,0,Clemson
7,Timothé Luwawu-Cabarrot,SF,6'6,6-Jun,210,May 9 1995,fr,2,
5,Markieff Morris,PF,6'10,10-Jun,245,September 2 1989,us,7,Kansas
11,Abdel Nader,SF,6'6,6-Jun,225,September 25 1993,eg,1,Northern Illinois Iowa State
3,Nerlens Noel,C,6'11,11-Jun,220,April 10 1994,us,4,Kentucky
54,Patrick Patterson,PF,6'9,9-Jun,230,March 14 1989,us,8,Kentucky
17,Dennis Schröder,PG,6'1,1-Jun,172,September 15 1993,de,5,
0,Russell Westbrook,PG,6'3,3-Jun,200,November 12 1988,us,10,UCLA
8,Álex Abrines,SG,6'6,6-Jun,200,August 1 1993,es,2,
12,Steven Adams,C,7'1,Jul-00,265,July 20 1993,nz,5,Pitt
30,Deonte Burton,SG,6'5,5-Jun,245,January 31 1994,us,0,Marquette Iowa State
34,Tyler Davis,C,6'10,10-Jun,266,May 22 1997,us,0,Texas A&M
6,Hamidou Diallo,SG,6'5,5-Jun,198,July 31 1998,us,0,Kentucky
8,Jawun Evans,PG,6'1,Jun-00,185,July 26 1996,us,1,Oklahoma State
2,Raymond Felton,PG,6'1,1-Jun,205,June 26 1984,us,13,UNC
23,Terrance Ferguson,SG,6'7,7-Jun,190,May 17 1998,us,1,
13,Paul George,SF,6'9,9-Jun,220,May 2 1990,us,8,Fresno State
9,Jerami Grant,PF,6'9,9-Jun,220,March 12 1994,us,4,Syracuse
15,Donte Grantham,SF,6'8,8-Jun,215,March 19 1995,us,0,Clemson
7,Timothé Luwawu-Cabarrot,SF,6'6,6-Jun,210,May 9 1995,fr,2,
5,Markieff Morris,PF,6'10,10-Jun,245,September 2 1989,us,7,Kansas
11,Abdel Nader,SF,6'6,6-Jun,225,September 25 1993,eg,1,Northern Illinois Iowa State
3,Nerlens Noel,C,6'11,11-Jun,220,April 10 1994,us,4,Kentucky
54,Patrick Patterson,PF,6'9,9-Jun,230,March 14 1989,us,8,Kentucky
17,Dennis Schröder,PG,6'1,1-Jun,172,September 15 1993,de,5,
0,Russell Westbrook,PG,6'3,3-Jun,200,November 12 1988,us,10,UCLA
21,Patrick Beverley,PG,6'1,1-Jun,185,July 12 1988,us,6,Arkansas
11,Avery Bradley,SG,6'2,2-Jun,180,November 26 1990,us,8,Texas
22,Wilson Chandler,SF,6'9,9-Jun,225,May 10 1987,us,10,DePaul
31,Ángel Delgado,C,6'10,10-Jun,245,November 20 1994,do,0,Seton Hall
8,Danilo Gallinari,SF,6'10,10-Jun,225,August 8 1988,it,9,
2,Shai Gilgeous-Alexander,PG,6'6,6-Jun,181,July 12 1998,ca,0,Kentucky
13,Marcin Gortat,C,6'11,11-Jun,240,February 17 1984,pl,11,
4,JaMychal Green,PF,6'9,9-Jun,227,June 21 1990,us,4,Alabama
5,Montrezl Harrell,C,6'8,8-Jun,240,January 26 1994,us,3,Louisville
34,Tobias Harris,PF,6'9,9-Jun,235,July 15 1992,us,7,Tennessee
51,Boban Marjanović,C,7'3,3-Jul,290,August 15 1988,rs,3,
12,Luc Mbah a Moute,PF,6'8,8-Jun,230,September 9 1986,cm,10,UCLA
15,Johnathan Motley,PF,6'10,10-Jun,230,May 4 1995,us,1,Baylor
10,Jerome Robinson,SG,6'5,5-Jun,190,February 22 1997,us,0,Boston College
30,Mike Scott,PF,6'8,8-Jun,237,July 16 1988,us,6,Virginia
20,Landry Shamet,SG,6'5,5-Jun,188,March 13 1997,us,0,Wichita State
17,Garrett Temple,SG,6'6,6-Jun,195,May 8 1986,us,8,LSU
4,Miloš Teodosić,PG,6'5,5-Jun,196,March 19 1987,rs,1,
0,Sindarius Thornwell,SG,6'5,5-Jun,215,November 15 1994,us,1,South Carolina
9,Tyrone Wallace,PG,6'5,5-Jun,198,June 10 1994,us,1,Cal
23,Lou Williams,SG,6'1,1-Jun,175,October 27 1986,us,13,
40,Ivica Zubac,C,7'1,1-Jul,240,March 18 1997,ba,2,
35,Marvin Bagley,PF,6'11,11-Jun,234,March 14 1999,us,0,Duke
40,Harrison Barnes,SF,6'8,8-Jun,225,May 30 1992,us,6,UNC
88,Nemanja Bjelica,PF,6'10,10-Jun,234,May 9 1988,rs,3,
8,Bogdan Bogdanović,SG,6'6,6-Jun,205,August 18 1992,rs,1,
33,Corey Brewer,SF,6'9,9-Jun,186,March 5 1986,us,11,Florida
13,Alec Burks,SG,6'6,6-Jun,214,July 20 1991,us,7,Colorado
0,Willie Cauley-Stein,C,7'1,Jul-00,240,August 18 1993,us,3,Kentucky
3,Yogi Ferrell,PG,6'1,Jun-00,180,May 9 1993,us,2,Indiana
5,De'Aaron Fox,PG,6'3,3-Jun,175,December 20 1997,us,1,Kentucky
20,Harry Giles,PF,6'10,10-Jun,240,April 22 1998,us,0,Duke
24,Buddy Hield,SG,6'4,4-Jun,214,December 17 1992,bs,2,Oklahoma
25,Justin Jackson,SF,6'8,8-Jun,210,March 28 1995,us,1,UNC
9,B.J. Johnson,SF,6'7,7-Jun,200,December 21 1995,us,0,Syracuse La Salle
41,Kosta Koufos,C,7'1,Jul-00,245,February 24 1989,us,10,Ohio State
7,Skal Labissière,PF,6'11,11-Jun,235,March 18 1996,ht,2,Kentucky
10,Frank Mason,PG,5'11,11-May,190,April 3 1994,us,1,Kansas
23,Ben McLemore,SG,6'5,5-Jun,201,February 11 1993,us,5,Kansas
9,Iman Shumpert,SG,6'5,5-Jun,215,June 26 1990,us,7,Georgia Tech
50,Caleb Swanigan,PF,6'9,9-Jun,250,April 18 1997,us,1,Purdue
19,Troy Williams,SF,6'7,7-Jun,218,December 30 1994,us,2,Indiana
2,Lonzo Ball,PG,6'6,6-Jun,190,October 27 1997,us,1,UCLA
11,Michael Beasley,PF,6'9,9-Jun,235,January 9 1989,us,10,Kansas State
17,Isaac Bonga,PG,6'8,8-Jun,180,November 8 1999,de,0,
35,Reggie Bullock,SG,6'7,7-Jun,205,March 16 1991,us,5,UNC
1,Kentavious Caldwell-Pope,SG,6'5,5-Jun,205,February 18 1993,us,5,Georgia
4,Alex Caruso,PG,6'5,5-Jun,186,February 28 1994,us,1,Texas A&M
5,Tyson Chandler,C,7'1,1-Jul,240,October 2 1982,us,17,
3,Josh Hart,SG,6'5,5-Jun,215,March 6 1995,us,1,Villanova
20,Andre Ingram,SG,6'3,3-Jun,190,November 19 1985,us,1,American University
14,Brandon Ingram,SF,6'9,9-Jun,190,September 2 1997,us,2,Duke
23,LeBron James,SF,6'8,8-Jun,250,December 30 1984,us,15,
10,Jemerrio Jones,SF,6'5,5-Jun,174,April 9 1995,us,0,Hill College New Mexico State
0,Kyle Kuzma,PF,6'9,9-Jun,220,July 24 1995,us,1,Utah
10,Scott Machado,PG,6'1,1-Jun,205,June 8 1990,us,1,Iona College
7,JaVale McGee,C,7'1,Jul-00,270,January 19 1988,us,10,Nevada
31,Mike Muscala,PF,6'11,11-Jun,240,July 1 1991,us,5,Bucknell
10,Sviatoslav Mykhailiuk,SF,6'8,8-Jun,205,June 10 1997,ua,0,Kansas
9,Rajon Rondo,PG,6'1,1-Jun,186,February 22 1986,us,12,Kentucky
6,Lance Stephenson,SG,6'6,6-Jun,230,September 5 1990,us,8,Cincinnati
15,Moritz Wagner,C,6'11,11-Jun,245,April 26 1997,de,0,Michigan
19,Johnathan Williams,C,6'9,9-Jun,228,May 22 1995,us,0,Missouri Gonzaga
40,Ivica Zubac,C,7'1,1-Jul,240,March 18 1997,ba,2,
31,Keita Bates-Diop,SF,6'9,9-Jun,229,January 23 1996,us,0,Ohio State
8,Jerryd Bayless,PG,6'3,3-Jun,200,August 20 1988,us,10,Arizona
23,Jimmy Butler,SG,6'8,8-Jun,232,September 14 1989,us,7,Marquette
7,Isaiah Canaan,PG,6'1,Jun-00,201,May 21 1991,us,5,Murray State
33,Robert Covington,SF,6'9,9-Jun,225,December 14 1990,us,5,Tennessee State
55,Mitch Creek,SF,6'5,5-Jun,216,April 27 1992,au,0,
9,Luol Deng,SF,6'9,9-Jun,237,April 16 1985,ss,14,Duke
5,Gorgui Dieng,C,6'11,11-Jun,252,January 18 1990,sn,5,Louisville
67,Taj Gibson,PF,6'9,9-Jun,232,June 24 1985,us,9,USC
1,Tyus Jones,PG,6'2,2-Jun,196,May 10 1996,us,3,Duke
7,James Nunnally,SF,6'7,7-Jun,208,July 14 1990,us,1,University of California Santa Barbara
20,Josh Okogie,SG,6'4,4-Jun,212,September 1 1998,ng,0,Georgia Tech
13,Cameron Reynolds,SG,6'8,8-Jun,225,February 7 1995,us,0,Tulane
25,Derrick Rose,PG,6'3,3-Jun,200,October 4 1988,us,9,Memphis
36,Dario Šarić,PF,6'10,10-Jun,223,April 8 1994,hr,2,
0,Jeff Teague,PG,6'2,2-Jun,195,June 10 1988,us,9,Wake Forest
3,Jared Terrell,SG,6'3,3-Jun,227,February 10 1995,us,0,Rhode Island
43,Anthony Tolliver,PF,6'8,8-Jun,250,June 1 1985,us,10,Creighton
32,Karl-Anthony Towns,C,7'1,Jul-00,248,November 15 1995,us,3,Kentucky
22,Andrew Wiggins,SF,6'8,8-Jun,194,February 23 1995,ca,4,Kansas
12,C.J. Williams,SG,6'5,5-Jun,226,February 6 1990,us,1,NC State
1,Kyle Anderson,SF,6'9,9-Jun,230,September 20 1993,us,4,UCLA
0,Avery Bradley,SG,6'2,2-Jun,180,November 26 1990,us,8,Texas
24,Dillon Brooks,SF,6'6,6-Jun,220,January 22 1996,ca,1,Oregon
8,MarShon Brooks,SG,6'5,5-Jun,200,January 26 1989,us,4,Providence
5,Bruno Caboclo,SF,6'9,9-Jun,218,September 21 1995,br,4,
3,Jevon Carter,PG,6'2,2-Jun,196,September 14 1995,us,0,West Virginia
18,Omri Casspi,SF,6'9,9-Jun,225,June 22 1988,il,9,
11,Mike Conley,PG,6'1,1-Jun,175,October 11 1987,us,11,Ohio State
22,Tyler Dorsey,SG,6'5,5-Jun,183,February 18 1996,us,1,Oregon
33,Marc Gasol,C,7'1,1-Jul,255,January 29 1985,es,10,
0,JaMychal Green,PF,6'9,9-Jun,227,June 21 1990,us,4,Alabama
8,Dusty Hannahs,SG,6'3,3-Jun,210,September 2 1993,us,0,Texas Tech Arkansas
5,Andrew Harrison,PG,6'6,6-Jun,213,October 28 1994,us,2,Kentucky
7,Justin Holiday,SG,6'6,6-Jun,181,April 5 1989,us,5,Washington
13,Jaren Jackson,PF,6'11,11-Jun,242,September 15 1999,us,0,Michigan State
6,Shelvin Mack,PG,6'3,3-Jun,203,April 22 1990,us,7,Butler
6,C.J. Miles,SF,6'6,6-Jun,220,March 18 1987,us,13,
55,Joakim Noah,C,6'11,11-Jun,230,February 25 1985,us,11,Florida
25,Chandler Parsons,SF,6'10,10-Jun,230,October 25 1988,us,7,Florida
10,Ivan Rabb,PF,6'10,10-Jun,220,February 4 1997,us,1,Cal
7,Wayne Selden,SG,6'5,5-Jun,230,September 30 1994,us,2,Kansas
20,D.J. Stephens,SG,6'5,5-Jun,188,December 19 1990,us,1,Memphis
17,Garrett Temple,SG,6'6,6-Jun,195,May 8 1986,us,8,LSU
17,Jonas Valančiūnas,C,7'1,Jul-00,265,May 6 1992,lt,6,
4,Julian Washburn,SF,6'8,8-Jun,210,December 18 1991,us,0,Texas-El Paso
12,Yuta Watanabe,SF,6'9,9-Jun,205,October 13 1994,jp,0,George Washington
2,Delon Wright,PG,6'5,5-Jun,183,April 26 1992,us,3,Utah
45,Tyler Zeller,C,7'1,Jul-00,253,January 17 1990,us,6,UNC
9,Dairis Bertāns,SG,6'4,4-Jun,200,September 9 1989,lv,0,
2,Ian Clark,SG,6'3,3-Jun,175,March 7 1991,us,5,Belmont
23,Anthony Davis,C,6'10,10-Jun,253,March 11 1993,us,6,Kentucky
13,Cheick Diallo,PF,6'9,9-Jun,220,September 13 1996,ml,2,Kansas
10,Tim Frazier,PG,6'1,1-Jun,170,November 1 1990,us,4,Penn State
1,Andrew Harrison,PG,6'6,6-Jun,213,October 28 1994,us,2,Kentucky
44,Solomon Hill,SF,6'7,7-Jun,225,March 18 1991,us,5,Arizona
11,Jrue Holiday,SG,6'4,4-Jun,205,June 12 1990,us,9,UCLA
15,Frank Jackson,PG,6'3,3-Jun,205,May 4 1998,us,0,Duke
3,Stanley Johnson,SF,6'7,7-Jun,245,May 29 1996,us,3,Arizona
33,Wesley Johnson,SF,6'7,7-Jun,215,July 11 1987,us,8,Iowa State Syracuse
21,Darius Miller,SF,6'8,8-Jun,225,March 21 1990,us,4,Kentucky
3,Nikola Mirotić,PF,6'10,10-Jun,250,February 11 1991,me,4,
55,E'Twaun Moore,SG,6'4,4-Jun,191,February 25 1989,us,7,Purdue
8,Jahlil Okafor,C,6'11,11-Jun,275,December 15 1995,us,3,Duke
4,Elfrid Payton,PG,6'4,4-Jun,185,February 22 1994,us,4,Louisiana
30,Julius Randle,PF,6'9,9-Jun,250,November 29 1994,us,4,Kentucky
14,Jason Smith,C,7'1,Jul-00,240,March 2 1986,us,10,Colorado State
34,Kenrich Williams,SF,6'7,7-Jun,210,December 2 1994,us,0,TCU
35,Christian Wood,PF,6'10,10-Jun,214,September 27 1995,us,2,UNLV
37,Kostas Antetokounmpo,PF,6'10,10-Jun,200,November 20 1997,gr,0,Dayton
5,J.J. Barea,PG,6'1,Jun-00,185,June 26 1984,pr,12,Northeastern University
40,Harrison Barnes,PF,6'8,8-Jun,225,May 30 1992,us,6,UNC
45,Ryan Broekhoff,SG,6'7,7-Jun,215,August 23 1990,au,0,Valparaiso
13,Jalen Brunson,PG,6'3,3-Jun,190,August 31 1996,us,0,Villanova
23,Trey Burke,PG,6'1,1-Jun,175,November 12 1992,us,5,Michigan
77,Luka Dončić,SG,6'7,7-Jun,218,February 28 1999,si,0,
10,Dorian Finney-Smith,SF,6'8,8-Jun,220,May 4 1993,us,2,Florida
11,Tim Hardaway,SG,6'6,6-Jun,205,March 16 1992,us,5,Michigan
34,Devin Harris,PG,6'3,3-Jun,185,February 27 1983,us,14,Wisconsin
44,Justin Jackson,SF,6'8,8-Jun,210,March 28 1995,us,1,UNC
6,DeAndre Jordan,C,6'11,11-Jun,265,July 21 1988,us,10,Texas A&M
42,Maxi Kleber,PF,6'11,11-Jun,240,January 29 1992,de,1,
1,Courtney Lee,SG,6'5,5-Jun,215,October 3 1985,us,10,Western Kentucky
3,Daryl Macon,SG,6'3,3-Jun,185,November 29 1995,us,0,Arkansas
23,Wesley Matthews,SF,6'5,5-Jun,220,October 14 1986,us,9,Marquette
50,Salah Mejri,C,7'2,2-Jul,235,June 15 1986,tn,3,
41,Dirk Nowitzki,PF,7'1,Jul-00,245,June 19 1978,de,20,
7,Dwight Powell,C,6'11,11-Jun,240,July 20 1991,ca,4,Stanford
1,Dennis Smith,PG,6'3,3-Jun,195,November 25 1997,us,1,NC State
26,Ray Spalding,PF,6'10,10-Jun,215,March 11 1997,us,0,Louisville
4,Quincy Acy,PF,6'7,7-Jun,240,October 6 1990,us,6,Baylor
15,Ryan Anderson,PF,6'10,10-Jun,240,May 6 1988,us,10,Cal
3,Trevor Ariza,SF,6'8,8-Jun,215,June 30 1985,us,14,UCLA
22,Deandre Ayton,C,7'1,1-Jul,250,July 23 1998,bs,0,Arizona
35,Dragan Bender,PF,7'1,1-Jul,225,November 17 1997,ba,2,
1,Devin Booker,SG,6'6,6-Jun,210,October 30 1996,us,3,Kentucky
25,Mikal Bridges,SF,6'7,7-Jun,210,August 30 1996,us,0,Villanova
0,Isaiah Canaan,PG,6'1,Jun-00,201,May 21 1991,us,5,Murray State
4,Tyson Chandler,C,7'1,1-Jul,240,October 2 1982,us,17,
11,Jamal Crawford,SG,6'5,5-Jun,185,March 20 1980,us,18,Michigan
30,Troy Daniels,SG,6'4,4-Jun,205,July 15 1991,us,5,Virginia Commonwealth
0,Jawun Evans,PG,6'1,Jun-00,185,July 26 1996,us,1,Oklahoma State
32,Jimmer Fredette,SG,6'2,2-Jun,195,February 25 1989,us,5,BYU
21,Richaun Holmes,C,6'10,10-Jun,235,October 15 1993,us,3,Bowling Green
20,Josh Jackson,SG,6'8,8-Jun,200,February 10 1997,us,1,Kansas
16,Tyler Johnson,PG,6'4,4-Jun,190,May 7 1992,us,4,Fresno State
8,George King,SF,6'6,6-Jun,225,January 15 1994,us,0,Colorado
14,De'Anthony Melton,PG,6'4,4-Jun,200,May 28 1998,us,0,USC
23,Eric Moreland,PF,6'10,10-Jun,238,December 24 1991,us,3,Oregon State
2,Elie Okobo,PG,6'3,3-Jun,190,October 23 1997,fr,0,
3,Kelly Oubre,SF,6'7,7-Jun,205,December 9 1995,us,3,Kansas
26,Ray Spalding,PF,6'10,10-Jun,215,March 11 1997,us,0,Louisville
10,Emanuel Terry,PF,6'9,9-Jun,220,August 21 1996,us,0,Lincoln Memorial University
12,T.J. Warren,SF,6'8,8-Jun,215,September 5 1993,us,4,NC State
