Player,2018/19
Stephen Curry ,37457154.00
Russell Westbrook ,35665000.00
Chris Paul ,35654150.00
LeBron James ,35654150.00
Kyle Lowry ,32700000.00
Blake Griffin ,31873932.00
Gordon Hayward ,31214295.00
James Harden ,30570000.00
Paul George ,30560700.00
Mike Conley ,30521115.00
Kevin Durant ,30000000.00
Paul Millsap ,29230769.00
Al Horford ,28928710.00
Damian Lillard ,27977689.00
DeMar DeRozan ,27739975.00
Chris Bosh ,26837720.00
Jrue Holiday ,26641111.00
Otto Porter ,26011913.00
CJ McCollum ,25759766.00
Nikola Jokic ,25467250.00
Andrew Wiggins ,25467250.00
Joel Embiid ,25467250.00
Anthony Davis ,25434263.00
Andre Drummond ,25434262.00
Bradley Beal ,25434262.00
Hassan Whiteside ,24434262.00
Dwight Howard ,24256725.00
Giannis Antetokounmpo ,24157304.00
Steven Adams ,24157304.00
Kevin Love ,24119025.00
Marc Gasol ,24119025.00
Chandler Parsons ,24107258.00
Harrison Barnes ,24107258.00
Nicolas Batum ,24000000.00
Rudy Gobert ,23491573.00
Kawhi Leonard ,23114066.00
DeAndre Jordan ,22897200.00
LaMarcus Aldridge ,22347015.00
Serge Ibaka ,21666667.00
Aaron Gordon ,21590909.00
Danilo Gallinari ,21587579.00
Victor Oladipo ,21000000.00
Ryan Anderson ,20421546.00
Joakim Noah ,20261172.00
Kyrie Irving ,20099189.00
Jabari Parker ,20000000.00
Jimmy Butler ,19841627.00
Zach LaVine ,19500000.00
Wesley Matthews ,19360228.00
Allen Crabbe ,19332500.00
Enes Kanter ,19264603.00
Tyler Johnson ,19245370.00
John Wall ,19169800.00
George Hill ,19000000.00
Jeff Teague ,19000000.00
Klay Thompson ,18988725.00
Goran Dragic ,18109175.00
Kent Bazemore ,18089888.00
Evan Turner ,17868853.00
Tristan Thompson ,17469565.00
Draymond Green ,17469565.00
Tim Hardaway Jr ,17325000.00
Pau Gasol ,17133285.00
Reggie Jackson ,17043478.00
Bismack Biyombo ,17000000.00
Evan Fournier ,17000000.00
Derrick Favors ,16900000.00
Luol Deng ,16747954.00
Jonas Valanciunas ,16539326.00
Gary Harris ,16517857.00
Andre Iguodala ,16000000.00
Timofey Mozgov ,16000000.00
Ian Mahinmi ,16000000.00
Clint Capela ,15793104.00
Dennis Schroeder ,15500000.00
DeMarre Carroll ,15400000.00
Gorgui Dieng ,15170787.00
Eric Bledsoe ,15000000.00
Trevor Ariza ,15000000.00
Tobias Harris ,14800000.00
Ricky Rubio ,14800000.00
JR Smith ,14720000.00
Brandon Knight ,14631250.00
James Johnson ,14420700.00
Robin Lopez ,14357750.00
Kenneth Faried ,14242782.00
Marvin Williams ,14087500.00
Taj Gibson ,14000000.00
Thaddeus Young ,13764045.00
Tyson Chandler ,13585000.00
Marcin Gortat ,13565218.00
Kelly Olynyk ,13537527.00
Cody Zeller ,13528090.00
Eric Gordon ,13500375.00
Austin Rivers ,13155324.00
Michael Kidd-Gilchrist ,13000000.00
Khris Middleton ,13000000.00
Mason Plumlee ,12917808.00
Wilson Chandler ,12800562.00
Solomon Hill ,12763467.00
Nikola Vucevic ,12750000.00
Dion Waiters ,12705000.00
Joe Ingles ,12545455.00
Jeremy Lin ,12516746.00
Jordan Clarkson ,12500000.00
Nikola Mirotic ,12500000.00
Miles Plumlee ,12400000.00
Tyreke Evans ,12400000.00
Courtney Lee ,12253780.00
JJ Redick ,12250000.00
Kemba Walker ,12000000.00
Kentavious Caldwell-Pope ,12000000.00
Avery Bradley ,12000000.00
Will Barton ,11830358.00
TJ Warren ,11750000.00
Zach Randolph ,11692308.00
Patrick Mills ,11571429.00
Alec Burks ,11536515.00
Omer Asik ,11286516.00
Marcus Smart ,11160716.00
Jusuf Nurkic ,11111111.00
Iman Shumpert ,11011234.00
Moe Harkless ,10837079.00
Tony Snell ,10607143.00
Dante Exum ,10600000.00
Meyers Leonard ,10595506.00
John Henson ,10577466.00
Bojan Bogdanovic ,10500000.00
Mirza Teletovic ,10500000.00
Terrence Ross ,10500000.00
Robert Covington ,10464092.00
Rudy Gay ,10087200.00
Jon Leuer ,10002681.00
Darren Collison ,10000000.00
Andre Roberson ,10000000.00
Danny Green ,10000000.00
Dwight Powell ,9631250.00
Matthew Dellavedova ,9607500.00
Jared Dudley ,9530000.00
Boban Marjanovic ,9490740.00
Josh Richardson ,9367200.00
Norman Powell ,9367200.00
Markieff Morris ,9173294.00
Rajon Rondo ,9000000.00
Bogdan Bogdanovic ,9000000.00
E'Twaun Moore ,8808685.00
Kosta Koufos ,8739500.00
Fred VanVleet ,8653847.00
Wayne Ellington ,8653076.00
Kyle Anderson ,8641000.00
Julius Randle ,8641000.00
Jerryd Bayless ,8575916.00
Cristiano Felicio ,8470980.00
Markelle Fultz ,8339880.00
Joe Harris ,8333333.00
CJ Miles ,8333333.00
Jerami Grant ,8333333.00
Shaun Livingston ,8307692.00
Deandre Ayton ,8175840.00
JaMychal Green ,8066667.00
Louis Williams ,8000000.00
Garrett Temple ,8000000.00
PJ Tucker ,7959537.00
Cory Joseph ,7945000.00
Karl-Anthony Towns ,7839435.00
Kyle Korver ,7560000.00
Darrell Arthur ,7464912.00
Lonzo Ball ,7461960.00
Doug McDermott ,7333334.00
Marvin Bagley ,7314960.00
Jae Crowder ,7305825.00
DJ Augustin ,7250000.00
Lance Thomas ,7119650.00
D'Angelo Russell ,7019698.00
Jeremy Lamb ,7000000.00
Langston Galloway ,7000000.00
Ersan Ilyasova ,7000000.00
Davis Bertans ,7000000.00
Al-Farouq Aminu ,6957105.00
Jayson Tatum ,6700800.00
Luka Doncic ,6569040.00
Mario Hezonja ,6500000.00
Nemanja Bjelica ,6500000.00
Ben Simmons ,6434520.00
Dewayne Dedmon ,6300000.00
Milos Teodosic ,6300000.00
Marco Belinelli ,6153846.00
Wesley Johnson ,6134000.00
Josh Jackson ,6041520.00
Ishmael Smith ,6000000.00
Montrezl Harrell ,6000000.00
Jonathon Simmons ,6000000.00
Jaren Jackson ,5922720.00
Brandon Ingram ,5757120.00
Anthony Tolliver ,5750000.00
Kristaps Porzingis ,5697054.00
Deron Williams ,5474787.00
De'Aaron Fox ,5470920.00
Ben McLemore ,5460000.00
Patrick Patterson ,5451600.00
Jason Smith ,5450000.00
Marcus Morris ,5375000.00
Trae Young ,5363280.00
DeMarcus Cousins ,5337000.00
Josh Smith ,5331729.00
Alexis Ajinca ,5285394.00
Thabo Sefolosha ,5250000.00
Aron Baynes ,5193600.00
Jaylen Brown ,5169960.00
Patrick Beverley ,5027028.00
Tony Parker ,5000000.00
Dirk Nowitzki ,5000000.00
Mike Muscala ,5000000.00
Jonathan Isaac ,4969080.00
Mo Bamba ,4871280.00
Jamal Crawford ,4698113.00
Ron Baker ,4697823.00
Willie Cauley-Stein ,4696874.00
Dragan Bender ,4661280.00
Lauri Markkanen ,4536120.00
Justin Holiday ,4500000.00
Ed Davis ,4449000.00
Kyle O'Quinn ,4449000.00
Lance Stephenson ,4449000.00
Wendell Carter ,4446840.00
Alex Len ,4350000.00
Luc Mbah a Moute ,4320500.00
Mike Scott ,4320500.00
Emmanuel Mudiay ,4294479.00
Kris Dunn ,4221000.00
Frank Ntilikina ,4155720.00
Glenn Robinson III ,4075000.00
Collin Sexton ,4073760.00
Al Jefferson ,4000000.00
Stanley Johnson ,3940401.00
Buddy Hield ,3833760.00
Dennis Smith ,3819960.00
Jodie Meeks ,3774176.00
Kevin Knox ,3744840.00
Jose Juan Barea ,3710850.00
Alex Abrines ,3667645.00
Nenê ,3651480.00
Zach Collins ,3628920.00
Frank Kaminsky ,3627842.00
Mikal Bridges ,3557400.00
Michael Beasley ,3500000.00
Jamal Murray ,3499800.00
Rodney Hood ,3472887.00
Justise Winslow ,3448926.00
Malik Monk ,3447480.00
Cameron Payne ,3440356.00
Brook Lopez ,3382000.00
Allonzo Trier ,3382000.00
Shai Gilgeous-Alexander ,3375360.00
Trey Lyles ,3364249.00
Ekpe Udoh ,3360000.00
Devin Booker ,3314365.00
Myles Turner ,3294994.00
Luke Kennard ,3275280.00
Troy Daniels ,3258539.00
Kelly Oubre ,3208630.00
Miles Bridges ,3206640.00
Marquese Chriss ,3206160.00
Tomas Satoransky ,3129187.00
Bryn Forbes ,3125000.00
Donovan Mitchell ,3111480.00
Terry Rozier ,3050389.00
Jerome Robinson ,3050160.00
Elfrid Payton ,3000000.00
Yogi Ferrell ,3000000.00
Bam Adebayo ,2955840.00
Jakob Poeltl ,2947320.00
Michael Porter ,2894160.00
Andrew Nicholson ,2844429.00
Justin Jackson ,2807880.00
Thon Maker ,2799720.00
Seth Curry ,2795000.00
Cedi Osman ,2775000.00
Sam Dekker ,2760094.00
Troy Brown ,2752680.00
Guerschon Yabusele ,2667600.00
Justin Patton ,2667600.00
Domantas Sabonis ,2659800.00
Jerian Grant ,2639313.00
Zhaire Smith ,2615160.00
Corey Brewer ,2559925.00
Delon Wright ,2536898.00
DJ Wilson ,2534280.00
Taurean Prince ,2526840.00
Dario Saric ,2526840.00
Justin Anderson ,2516047.00
Shelvin Mack ,2512601.00
Reggie Bullock ,2500000.00
Manu Ginobili ,2500000.00
Bobby Portis ,2494346.00
Dante Cunningham ,2487000.00
Donte DiVincenzo ,2484360.00
Rondae Hollis-Jefferson ,2470356.00
Tyus Jones ,2444052.00
Jarell Martin ,2416221.00
Greg Monroe ,2410167.00
TJ Leaf ,2407560.00
Georgios Papagiannis ,2400480.00
Vince Carter ,2393887.00
Carmelo Anthony ,2393887.00
Channing Frye ,2393887.00
Devin Harris ,2393887.00
Jose Calderon ,2393887.00
Zaza Pachulia ,2393887.00
JaVale McGee ,2393887.00
Udonis Haslem ,2393887.00
Dwyane Wade ,2393887.00
Raymond Felton ,2393887.00
Amir Johnson ,2393887.00
Jeff Green ,2393887.00
Lonnie Walker ,2360160.00
John Collins ,2299080.00
Denzel Valentine ,2280600.00
Larry Nance Jr ,2272390.00
Kevin Huerter ,2250960.00
Monta Ellis ,2245400.00
Harry Giles ,2207040.00
Darius Miller ,2205000.00
Henry Ellenson ,2199311.00
Omri Casspi ,2176260.00
Derrick Rose ,2176260.00
Juan Hernangomez ,2166360.00
Jonas Jerebko ,2165481.00
Quincy Pondexter ,2165481.00
Josh Okogie ,2163600.00
Nik Stauskas ,2161886.00
Terrance Ferguson ,2118840.00
Raul Neto ,2100000.00
Salah Mejri ,2098196.00
Grayson Allen ,2076960.00
Jarrett Allen ,2034120.00
Isaiah Thomas ,2029463.00
Spencer Hawes ,2007058.00
Torrey Craig ,2000000.00
Cole Aldrich ,2000000.00
Chandler Hutchison ,1991520.00
Ante Zizic ,1952760.00
OG Anunoby ,1952760.00
Shabazz Napier ,1942422.00
Aaron Holiday ,1914480.00
Timothe Luwawu ,1880268.00
Tyler Lydon ,1874640.00
Anfernee Simons ,1837800.00
Tim Frazier ,1832107.00
Trey Burke ,1795015.00
Malik Beasley ,1773840.00
Moritz Wagner ,1764240.00
Ian Clark ,1757429.00
Nerlens Noel ,1757429.00
Deyonta Davis ,1741503.00
Furkan Korkmaz ,1740000.00
Caleb Swanigan ,1740000.00
Landry Shamet ,1705920.00
Caris LeVert ,1702800.00
Rodions Kurucs ,1690000.00
Jonah Bolden ,1690000.00
Kyle Kuzma ,1689840.00
Tony Bradley ,1679520.00
Derrick White ,1667160.00
Kyle Singler ,1665333.00
Robert Williams ,1656600.00
Spencer Dinwiddie ,1656092.00
MarShon Brooks ,1656092.00
Josh Hart ,1655160.00
Jacob Evans ,1646400.00
Pat Connaughton ,1641000.00
DeAndre Bembry ,1634640.00
Dzanan Musa ,1634400.00
Omari Spellman ,1622520.00
Noah Vonleh ,1621415.00
James Ennis ,1621415.00
Luke Kornet ,1619260.00
TJ McConnell ,1600520.00
Richaun Holmes ,1600520.00
Malachi Richardson ,1569360.00
Kevon Looney ,1567007.00
Jahlil Okafor ,1567007.00
Wayne Selden ,1544951.00
Dorian Finney-Smith ,1544951.00
Damian Jones ,1544951.00
Quinn Cook ,1544951.00
Wade Baldwin ,1544951.00
Ivica Zubac ,1544951.00
Rodney McGruder ,1544951.00
Malcolm Brogdon ,1544951.00
Cheick Diallo ,1544951.00
Jake Layman ,1544951.00
Skal Labissiere ,1544951.00
Dejounte Murray ,1544951.00
Pascal Siakam ,1544951.00
Treveon Graham ,1512601.00
David Nwaba ,1512601.00
Gerald Green ,1512601.00
Derrick Jones ,1512601.00
Christian Wood ,1512601.00
Georges Niang ,1512601.00
Willy Hernangomez ,1496500.00
Sviatoslav Mykhailiuk ,1487694.00
Mitchell Robinson ,1485440.00
Michael Carter-Williams ,1468082.00
Jawun Evans ,1455492.00
Semi Ojeleye ,1378242.00
Daniel Theis ,1378242.00
Dwayne Bacon ,1378242.00
Maxi Kleber ,1378242.00
Jordan Bell ,1378242.00
Zhou Qi ,1378242.00
Sindarius Thornwell ,1378242.00
Rade Zagorac ,1378242.00
Dillon Brooks ,1378242.00
Ivan Rabb ,1378242.00
Dakari Johnson ,1378242.00
Tyler Dorsey ,1378242.00
Sterling Brown ,1378242.00
Frank Jackson ,1378242.00
Damyean Dotson ,1378242.00
Abdel Nader ,1378242.00
Wesley Iwundu ,1378242.00
Khem Birch ,1378242.00
Frank Mason ,1378242.00
Royce O'Neale ,1378242.00
Thomas Bryant ,1378242.00
Daniel Hamilton ,1349383.00
Jabari Bird ,1349383.00
Antonio Blakeney ,1349383.00
Ryan Arcidiacono ,1349383.00
Monte Morris ,1349383.00
Alfonzo McKinnie ,1349383.00
Ike Anigbogu ,1349383.00
Tyrone Wallace ,1349383.00
Shaquille Harrison ,1325531.00
Elie Okobo ,1238464.00
Jalen Brunson ,1230000.00
Melvin Frazier ,1050000.00
Raymond Spalding ,1023210.00
Isaac Bonga ,1000000.00
Justin Hamilton ,1000000.00
Devonte Graham ,988464.00
Chasson Randle ,975824.00
Patrick McCaw ,964104.00
De'Anthony Melton ,949000.00
Jason Thompson ,893333.00
Brad Wanamaker ,838464.00
Ryan Broekhoff ,838464.00
Jarred Vanderbilt ,838464.00
Bruce Brown ,838464.00
Khyri Thomas ,838464.00
Isaiah Hartenstein ,838464.00
Alize Johnson ,838464.00
Jevon Carter ,838464.00
Keita Bates-Diop ,838464.00
Kenrich Williams ,838464.00
Hamidou Diallo ,838464.00
Isaiah Briscoe ,838464.00
Gary Trent Jr ,838464.00
Chimezie Metu ,838464.00
Lorenzo Brown ,800000.00
Davon Reed ,752250.00
Isaiah Canaan ,744671.00
Isaiah Whitehead ,726390.00
Bruno Caboclo ,705361.00
Gary Clark ,674122.00
James Nunnally ,663255.00
Kalin Lucas ,648008.00
John Jenkins ,585809.00
Deonte Burton ,500000.00
Andrew Bogut ,486892.00
Chris Boucher ,457418.00
Malcolm Miller ,457418.00
Edmond Sumner ,449794.00
Yante Maten ,385000.00
Andrew Harrison ,354500.00
Eric Moreland ,309859.00
Nick Young ,284020.00
Danuel House ,247827.00
Okaro White ,247827.00
Jaylen Adams ,236854.00
Ben Moore ,222099.00
Tyler Zeller ,213948.00
Quincy Acy ,213948.00
Terrence Jones ,198579.00
Jimmer Fredette ,198579.00
Dairis Bertans ,194220.00
Walter Lemon Jr ,176250.00
Demetrius Jackson ,170107.00
BJ Johnson ,142111.00
Chris Chiozza ,137374.00
Johnathan Williams ,127250.00
Cam Reynolds ,108953.00
Donatas Motiejunas ,99289.00
Emanuel Terry ,94740.00
Justin Bibbs ,92159.00
JaKarr Sampson ,85457.00
Gary Payton II ,85457.00
Alex Poythress ,77250.00
PJ Dozier ,77250.00
RJ Hunter ,77250.00
Theo Pinson ,77250.00
Alan Williams ,77250.00
JP Macura ,77250.00
Joe Chealey ,77250.00
Rawle Alkins ,77250.00
Tyler Ulis ,77250.00
Brandon Sampson ,77250.00
John Holland ,77250.00
Billy Preston ,77250.00
Jaron Blossomgame ,77250.00
Jalen Jones ,77250.00
Deng Adel ,77250.00
Kostas Antetokounmpo ,77250.00
Daryl Macon ,77250.00
Thomas Welsh ,77250.00
DeVaughn Akoon-Purcell ,77250.00
Archie Goodwin ,77250.00
Keenan Evans ,77250.00
Zach Lofton ,77250.00
Damion Lee ,77250.00
Marcus Derrickson ,77250.00
Vincent Edwards ,77250.00
Trevon Duval ,77250.00
Angel Delgado ,77250.00
Johnathan Motley ,77250.00
Alex Caruso ,77250.00
Yuta Watanabe ,77250.00
DJ Stephens ,77250.00
Jarnell Stokes ,77250.00
Julian Washburn ,77250.00
Duncan Robinson ,77250.00
Jaylen Morris ,77250.00
Bonzie Colson ,77250.00
Jared Terrell ,77250.00
CJ Williams ,77250.00
Trevon Bluiett ,77250.00
Isaiah Hicks ,77250.00
Kadeem Allen ,77250.00
Tyler Davis ,77250.00
Donte Grantham ,77250.00
Troy Caupain ,77250.00
Amile Jefferson ,77250.00
Shake Milton ,77250.00
Haywood Highsmith ,77250.00
George King ,77250.00
Troy Williams ,77250.00
Drew Eubanks ,77250.00
Jordan Loyd ,77250.00
Naz Long ,77250.00
Tyler Cavanaugh ,77250.00
Devin Robinson ,77250.00
Jordan McRae ,77250.00
Jonathan Gibson ,76236.00
Kobi Simmons ,76236.00
Andre Ingram ,76236.00
Scott Machado ,76236.00
Charles Cooke ,76236.00
Scotty Hopson ,76236.00
Wenyen Gabriel ,75000.00
Billy Garrett ,67370.00
Brandon Goodwin ,56845.00
Mitch Creek ,56845.00
Jemerrio Jones ,52170.00
Jordan Sibert ,47370.00
Isaac Humphries ,47370.00
Mitchell Creek ,47370.00
Tahjere McCall ,47370.00
Michael Frazier ,47370.00
Stephan Hicks ,47370.00
Dusty Hannahs ,47370.00
Kendrick Nunn ,47370.00
Richard Solomon ,47370.00
Cody Demps ,47370.00
Tarik Phillip ,47370.00
